style,artist,title,matched,video_id,youtube_url,video_title,source,score,searched_at
Abstract,Wedding Acid Group,City Gate Funk,yes,eZG6HOEq43k,https://music.youtube.com/watch?v=eZG6HOEq43k,Wedding Acid Group -- City Gate Funk,ytmusic,100.0,2026-09-04T01:11:52
Abstract,Wedding Acid Group,Colombo Acid,yes,aE7SDnVv5CI,https://music.youtube.com/watch?v=aE7SDnVv5CI,Wedding Acid Group -- Colombo Acid,ytmusic,100.0,2026-09-04T01:11:48
Abstract,Wedding Acid Group,Dog Park Memories,yes,dlitH46rTdg,https://music.youtube.com/watch?v=dlitH46rTdg,Wedding Acid Group  -- Dog Park Memories,ytmusic,100.0,2026-09-04T01:11:51
Abstract,Wedding Acid Group,Lost Memory FM,yes,d_9LzXchABY,https://music.youtube.com/watch?v=d_9LzXchABY,Wedding Acid Group -- Lost Memory Fm,ytmusic,100.0,2026-09-04T01:11:49
Abstract,Wedding Acid Group,Low Moisture Acid,yes,BJvwYpfu4U8,https://music.youtube.com/watch?v=BJvwYpfu4U8,Wedding Acid Group - Low Moisture Acid [USR027],ytmusic,100.0,2026-09-04T01:11:48
Abstract,Wedding Acid Group,Optimistic Acid,yes,1VXR1VyI3eU,https://music.youtube.com/watch?v=1VXR1VyI3eU,Wedding Acid Group -- Optimistic Acid,ytmusic,100.0,2026-09-04T01:11:50
Abstract,Wedding Acid Group,Sunday Circles,yes,TenxTel3_9Y,https://music.youtube.com/watch?v=TenxTel3_9Y,Wedding Acid Group -- Sunday Circles,ytmusic,100.0,2026-09-04T01:11:51
Abstract,Wedding Acid Group,Toy Story,yes,dr4b-a0zt8E,https://music.youtube.com/watch?v=dr4b-a0zt8E,Wedding Acid Group -- Toy Story,ytmusic,100.0,2026-09-04T01:11:47
Acid,A***,Untitled,yes,0TTRXT9ECs0,https://music.youtube.com/watch?v=0TTRXT9ECs0,Untitled A,ytmusic,76.19047619047619,2026-09-04T01:20:44
Acid,A***,Untitled,yes,0TTRXT9ECs0,https://music.youtube.com/watch?v=0TTRXT9ECs0,Untitled A,ytmusic,76.19047619047619,2026-09-04T01:20:44
Acid,A***,Untitled,yes,0TTRXT9ECs0,https://music.youtube.com/watch?v=0TTRXT9ECs0,Untitled A,ytmusic,76.19047619047619,2026-09-04T01:20:44
Acid,A:G,Catching Up,yes,CEFA8x5o9AE,https://music.youtube.com/watch?v=CEFA8x5o9AE,(A1) A:G - Catching Up - [Lirica Archives] - 2026,ytmusic,100.0,2026-09-04T01:11:44
Acid,A:G,Impulses,yes,jjhCc7ctU3c,https://music.youtube.com/watch?v=jjhCc7ctU3c,(B1) A:G - Impulses - [Lirica Archives] - 2026,ytmusic,100.0,2026-09-04T01:11:45
Acid,A:G,Let It Go,yes,x__PQ5HfaJI,https://music.youtube.com/watch?v=x__PQ5HfaJI,(B2) A:G - Let it Go - [Lirica Archives] - 2026,ytmusic,100.0,2026-09-04T01:11:46
Acid,A:G,New Doors,yes,FUqJi5T1m5s,https://music.youtube.com/watch?v=FUqJi5T1m5s,(B3) A:G - New Doors - [Lirica Archives] - 2026,ytmusic,100.0,2026-09-04T01:11:46
Acid,A:G,That's Not The Moon,yes,9l0PNcpJhYs,https://music.youtube.com/watch?v=9l0PNcpJhYs,(A2) A:G - That's not the moon - [Lirica Archives] - 2026,ytmusic,100.0,2026-09-04T01:11:44
Acid,Abdul Raeva,Hard Discount Primitivo,yes,xpJRKoPj3QM,https://music.youtube.com/watch?v=xpJRKoPj3QM,Hard Discount Primitivo,ytmusic,100.0,2026-09-04T01:21:03
